,state,year,Dem_state_leg,Rep_state_leg,Dem_state_exe,Dem_local_exe,Rep_local_exe,Dem_local_leg,Other_local_leg,Rep_local_leg,year_earliest,pre_Dem_state_leg,pre_Rep_state_leg,pre_Dem_state_exe,pre_Dem_local_exe,pre_Rep_local_exe,pre_Dem_local_leg,pre_Other_local_leg,pre_Rep_local_leg
0,Alabama,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Alabama,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alabama,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Alabama,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alabama,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alabama,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Alabama,2006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Alabama,2007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alabama,2008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alabama,2009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Alabama,2010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alabama,2011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alabama,2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alabama,2013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alabama,2014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alabama,2015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Alabama,2016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Alabama,2017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Alabama,2018,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Alabama,2019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Alabama,2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Alabama,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Alabama,2022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Alabama,2023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Alaska,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Alaska,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Alaska,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Alaska,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Alaska,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Alaska,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Alaska,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Alaska,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Alaska,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Alaska,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
